Size,Linear Search,Binary Search
506, 481106, 28723
507, 501827, 28780
508, 445879, 28874
509, 520600, 28607
510, 420980, 28737
511, 507923, 28553
512, 451316, 51824
513, 438578, 28669
514, 481142, 47034
515, 515856, 28696
516, 589863, 31584
517, 484531, 31050
518, 667767, 39072
519, 605435, 34004
520, 500429, 31639
521, 501373, 32835
522, 536742, 85951
523, 545824, 33234
524, 522429, 32370
525, 516259, 32581
526, 505251, 29149
527, 527179, 28476
528, 515336, 28579
529, 487288, 57205
530, 456233, 28890
531, 460005, 28882
532, 499224, 29040
533, 541728, 28830
534, 497441, 28725
535, 536244, 28710
536, 475734, 29163
537, 498023, 28853
538, 477089, 28901
539, 551962, 28541
540, 435323, 28770
541, 551534, 29502
542, 619644, 30190
543, 506274, 30374
544, 552295, 75787
545, 1.1316e+06, 51052
546, 690036, 37233
547, 670443, 32329
548, 503197, 32412
549, 567326, 34952
550, 700517, 34200
551, 547592, 34253
552, 570631, 30612
553, 544116, 30500
554, 562984, 28899
555, 571695, 28957
556, 465449, 28767
557, 565916, 28723
558, 485185, 29166
559, 523571, 29064
560, 516438, 28790
561, 538346, 29029
562, 591906, 28968
563, 518057, 28681
564, 539352, 28995
565, 524991, 28955
566, 528294, 29074
567, 520024, 29088
568, 513116, 29697
569, 573424, 29827
570, 507041, 29791
571, 653518, 32974
572, 631438, 34844
573, 611545, 33426
574, 706499, 35060
575, 644269, 34225
576, 542330, 34598
577, 596357, 34548
578, 593472, 33535
579, 537284, 33834
580, 521301, 29395
581, 516958, 29548
582, 524202, 29405
583, 565403, 29264
584, 509497, 29464
585, 558425, 28929
586, 535347, 29010
587, 558605, 29264
588, 635449, 29026
589, 546685, 29037
590, 547464, 29808
591, 575943, 29709
592, 521292, 30026
593, 618555, 30339
594, 559913, 30438
595, 546676, 30373
596, 567243, 30702
597, 582318, 73198
598, 682632, 33737
599, 648770, 34901
600, 570371, 34560
601, 688411, 34561
602, 571530, 34500
603, 580789, 34372
604, 654111, 34704
605, 573147, 33972
606, 547312, 33939
607, 632743, 28837
608, 555153, 29447
609, 507711, 29237
610, 612801, 29268
611, 553194, 33484
612, 531844, 29537
613, 581473, 29552
614, 534789, 29569
615, 539852, 29645
616, 554179, 29395
617, 616006, 30217
618, 613438, 30946
619, 595239, 31065
620, 632070, 30732
621, 640645, 30087
622, 614990, 30269
623, 711222, 32575
624, 1.17527e+06, 90748
625, 549774, 34898
626, 678320, 33591
627, 642005, 36343
628, 658064, 36110
629, 612617, 31862
630, 607685, 30811
631, 640087, 30625
632, 587688, 29519
633, 562579, 29523
634, 571932, 29482
635, 605763, 29751
636, 556779, 32056
637, 566841, 29569
638, 538095, 29371
639, 536543, 29790
640, 618331, 29848
641, 607975, 30400
642, 622052, 29937
643, 610991, 31673
644, 575517, 31987
645, 588833, 30939
646, 607999, 31154
647, 641172, 48997
648, 656826, 34814
649, 735300, 34830
650, 743983, 35865
651, 743682, 35008
652, 643868, 43582
653, 677384, 34364
654, 680689, 35153
655, 664914, 29551
656, 562824, 29428
657, 632136, 29968
658, 657191, 29562
659, 556826, 30040
660, 666937, 29673
661, 596388, 29852
662, 594813, 29717
663, 606382, 29938
664, 625128, 30444
665, 607611, 30273
666, 641987, 30759
667, 628447, 31240
668, 602732, 31451
669, 656936, 31024
670, 658870, 30961
671, 776981, 67899
672, 715991, 35995
673, 746025, 35528
674, 745308, 47915
675, 679184, 34636
676, 770502, 40402
677, 681464, 34153
678, 591046, 34039
679, 676738, 29444
